hh_id,bus_id,hh_name,pv_name,ev,load_profile,pv_profile,ev_profile
1,2,load_hh_58,PV_hh_58,False,None,None,None
2,6,load_hh_62,PV_hh_62,False,None,None,None
3,6,load_hh_64,PV_hh_64,False,None,None,None
4,7,load_hh_39,PV_hh_39,False,None,None,None
5,7,load_hh_37,PV_hh_37,False,None,None,None
6,7,load_hh_27,PV_hh_27,False,None,None,None
7,8,load_hh_2,PV_hh_2,False,None,None,None
8,8,load_hh_8,PV_hh_8,False,None,None,None
9,8,load_hh_11,PV_hh_11,False,None,None,None
10,8,load_hh_16,PV_hh_16,False,None,None,None
11,12,load_hh_13,PV_hh_13,False,None,None,None
12,13,load_hh_5,PV_hh_5,False,None,None,None
13,13,load_hh_7,PV_hh_7,False,None,None,None
14,15,load_hh_26,PV_hh_26,False,None,None,None
15,15,load_hh_17,PV_hh_17,False,None,None,None
16,15,load_hh_15,PV_hh_15,False,None,None,None
17,17,load_hh_9,PV_hh_9,False,None,None,None
18,4,load_hh_51b,PV_hh_51b,False,None,None,None
19,10,load_hh_1a,PV_hh_1a,False,None,None,None
20,14,load_hh_9a,PV_hh_9a,False,None,None,None
21,18,load_hh_12,PV_hh_12,False,None,None,None
22,18,load_hh_16a,PV_hh_16a,False,None,None,None
23,18,load_hh_7a,PV_hh_7a,False,None,None,None
24,19,load_hh_6,PV_hh_6,False,None,None,None
25,5,load_hh_5a,PV_hh_5a,False,None,None,None
26,11,load_hh_7b,PV_hh_7b,False,None,None,None
