hh_id,bus_id,hh_name,pv_name,ev,load_profile,pv_profile,ev_profile
1,3,load_hh_1,pv_hh_1,False,None,None,None
2,4,load_hh_2,pv_hh_2,False,None,None,None
3,5,load_hh_3,pv_hh_3,False,None,None,None
4,6,load_hh_4,pv_hh_4,False,None,None,None
5,3,load_hh_1_01,pv_hh_1_01,False,None,None,None
6,3,load_hh_1_02,pv_hh_1_02,False,None,None,None
7,3,load_hh_1_03,pv_hh_1_03,False,None,None,None
8,3,load_hh_1_04,pv_hh_1_04,False,None,None,None
9,3,load_hh_1_05,pv_hh_1_05,False,None,None,None
10,4,load_hh_2_01,pv_hh_2_01,False,None,None,None
11,4,load_hh_2_02,pv_hh_2_02,False,None,None,None
12,4,load_hh_2_03,pv_hh_2_03,False,None,None,None
13,4,load_hh_2_04,pv_hh_2_04,False,None,None,None
14,4,load_hh_2_05,pv_hh_2_05,False,None,None,None
15,5,load_hh_3_01,pv_hh_3_01,False,None,None,None
16,5,load_hh_3_02,pv_hh_3_02,False,None,None,None
17,5,load_hh_3_03,pv_hh_3_03,False,None,None,None
18,5,load_hh_3_04,pv_hh_3_04,False,None,None,None
19,5,load_hh_3_05,pv_hh_3_05,False,None,None,None
20,6,load_hh_4_01,pv_hh_4_01,False,None,None,None
21,6,load_hh_4_02,pv_hh_4_02,False,None,None,None
22,6,load_hh_4_03,pv_hh_4_03,False,None,None,None
23,6,load_hh_4_04,pv_hh_4_04,False,None,None,None
24,6,load_hh_4_05,pv_hh_4_05,False,None,None,None
